Method,Endpoint,Description,Authentication Required,Premium Required,Request Body,Response Status,Response Body
GET,/api/health,Health check endpoint,No,No,None,200,"{""status"": ""OK"", ""timestamp"": ""2024-01-15T10:00:00.000Z"", ""service"": ""InKveiL API""}"
GET,/api/ping,Legacy ping endpoint,No,No,None,200,"{""message"": ""pong""}"
GET,/api/demo,Legacy demo endpoint,No,No,None,200,Demo response object
POST,/api/auth/signup,Register new user account,No,No,"{""name"": ""string"", ""email"": ""string"", ""password"": ""string"", ""gender"": ""enum"", ""age"": ""number"", ""location"": ""object"", ""intent"": ""enum""}",201,"{""message"": ""User created successfully"", ""user"": ""object"", ""accessToken"": ""string"", ""refreshToken"": ""string""}"
POST,/api/auth/login,Authenticate existing user,No,No,"{""email"": ""string"", ""password"": ""string""}",200,"{""message"": ""Login successful"", ""user"": ""object"", ""accessToken"": ""string"", ""refreshToken"": ""string""}"
POST,/api/auth/refresh,Refresh access token,No,No,"{""refreshToken"": ""string""}",200,"{""message"": ""Token refreshed successfully"", ""accessToken"": ""string"", ""refreshToken"": ""string""}"
POST,/api/auth/logout,Logout user,Yes,No,None,200,"{""message"": ""Logout successful""}"
POST,/api/auth/forgot-password,Initiate password reset,No,No,"{""email"": ""string""}",200,"{""message"": ""Password reset link sent""}"
POST,/api/auth/reset-password,Reset user password,No,No,"{""token"": ""string"", ""newPassword"": ""string""}",200,"{""message"": ""Password reset successful""}"
GET,/api/users/profile,Get current user profile,Yes,No,None,200,"{""message"": ""Profile retrieved successfully"", ""user"": ""object""}"
PUT,/api/users/profile,Update user profile,Yes,No,"{""name"": ""string"", ""bio"": ""string"", ""interests"": ""array"", ""photoURL"": ""string""}",200,"{""message"": ""Profile updated successfully"", ""user"": ""object""}"
PUT,/api/users/preferences,Update user preferences,Yes,No,"{""ageRange"": ""object"", ""maxDistance"": ""number"", ""genderPreference"": ""enum"", ""intentPreference"": ""enum""}",200,"{""message"": ""Preferences updated successfully"", ""user"": ""object""}"
GET,/api/users/discover,Discover potential connections,Yes,No,Query parameters,200,"{""message"": ""Users discovered successfully"", ""users"": ""array"", ""pagination"": ""object""}"
GET,/api/users/:userId,Get specific user profile,Yes,No,None,200,"{""message"": ""User retrieved successfully"", ""user"": ""object"", ""connectionStatus"": ""string""}"
DELETE,/api/users/profile,Delete user account,Yes,No,None,200,"{""message"": ""Profile deleted successfully""}"
POST,/api/connections/request,Send connection request,Yes,No,"{""receiverId"": ""string"", ""message"": ""string""}",201,"{""message"": ""Connection request sent successfully"", ""connection"": ""object""}"
GET,/api/connections,Get user connections,Yes,No,Query parameters,200,"{""message"": ""Connections retrieved successfully"", ""connections"": ""array"", ""pagination"": ""object""}"
PUT,/api/connections/:connectionId/status,Update connection status,Yes,No,"{""status"": ""enum""}",200,"{""message"": ""Connection status updated"", ""connection"": ""object""}"
GET,/api/connections/active-chats,Get active chat connections,Yes,No,None,200,"{""message"": ""Active chats retrieved successfully"", ""activeChats"": ""array"", ""count"": ""number""}"
DELETE,/api/connections/:connectionId,Delete connection,Yes,No,None,200,"{""message"": ""Connection deleted successfully""}"
POST,/api/messages/:connectionId,Send message,Yes,No,"{""content"": ""string"", ""isMedia"": ""boolean"", ""mediaURL"": ""string"", ""mediaType"": ""enum""}",201,"{""message"": ""Message sent successfully"", ""messageData"": ""object""}"
GET,/api/messages/:connectionId,Get messages for connection,Yes,No,Query parameters,200,"{""message"": ""Messages retrieved successfully"", ""messages"": ""array"", ""unreadCount"": ""number"", ""timeLeft"": ""number""}"
PUT,/api/messages/:connectionId/read,Mark messages as read,Yes,No,"{""messageIds"": ""array""}",200,"{""message"": ""Messages marked as read"", ""markedCount"": ""number""}"
DELETE,/api/messages/:messageId,Delete message,Yes,No,None,200,"{""message"": ""Message deleted successfully""}"
GET,/api/messages/chat-summary,Get chat summary,Yes,No,None,200,"{""message"": ""Chat summary retrieved successfully"", ""chats"": ""array"", ""totalUnread"": ""number""}"
POST,/api/rooms,Create new room,Yes,Yes,"{""roomName"": ""string"", ""description"": ""string"", ""roomType"": ""enum"", ""tags"": ""array"", ""maxParticipants"": ""number""}",201,"{""message"": ""Room created successfully"", ""room"": ""object""}"
GET,/api/rooms,Get available rooms,Yes,Yes,Query parameters,200,"{""message"": ""Rooms retrieved successfully"", ""rooms"": ""array"", ""pagination"": ""object""}"
GET,/api/rooms/my-rooms,Get user's rooms,Yes,Yes,None,200,"{""message"": ""User rooms retrieved successfully"", ""createdRooms"": ""array"", ""participatingRooms"": ""array""}"
GET,/api/rooms/:roomId,Get specific room details,Yes,Yes,None,200,"{""message"": ""Room retrieved successfully"", ""room"": ""object""}"
POST,/api/rooms/:roomId/join,Join room,Yes,Yes,None,200,"{""message"": ""Successfully joined room"", ""room"": ""object""}"
POST,/api/rooms/:roomId/leave,Leave room,Yes,Yes,None,200,"{""message"": ""Successfully left room""}"
PUT,/api/rooms/:roomId,Update room details,Yes,Yes,"{""roomName"": ""string"", ""description"": ""string"", ""tags"": ""array"", ""maxParticipants"": ""number""}",200,"{""message"": ""Room updated successfully"", ""room"": ""object""}"
DELETE,/api/rooms/:roomId,Delete/deactivate room,Yes,Yes,None,200,"{""message"": ""Room deleted successfully""}"
